United States	171.33333333333334	1398	945	741	3084
Russia	163.55555555555554	1217	840	887	2944
Germany	152.16666666666666	986	848	905	2739
China	66.2	351	349	293	993
Australia	57.333333333333336	274	349	409	1032
Canada	49.94444444444444	314	301	284	899
Romania	46.416666666666664	144	181	232	557
Hungary	45.36363636363637	163	163	173	499
Italy	45.166666666666664	222	279	312	813
United Kingdom	44.44444444444444	253	256	291	800
France	42.166666666666664	227	228	304	759
Cuba	38.9	158	115	116	389
South Korea	36.88235294117647	221	228	178	627
Spain	36.833333333333336	105	216	121	442
Netherlands	36.5	207	228	222	657
Serbia	36.36363636363637	119	135	146	400
Japan	36.27777777777778	164	214	275	653
Brazil	35.416666666666664	106	173	146	425
Sweden	30.833333333333332	132	226	197	555
Norway	27.5	167	171	157	495
Poland	24.4	90	140	136	366
Finland	22.0	55	124	217	396
Argentina	21.88888888888889	70	54	73	197
Czech Republic	21.058823529411764	71	130	157	358
Bulgaria	20.0	47	112	121	280
Ukraine	19.9	47	52	100	199
New Zealand	18.09090909090909	72	54	73	199
Paraguay	17.0	0	17	0	17
Denmark	16.076923076923077	96	40	73	209
Switzerland	15.944444444444445	74	104	109	287
Montenegro	14.0	0	14	0	14
Austria	13.882352941176471	66	79	91	236
Croatia	13.545454545454545	58	54	37	149
Fiji	13.0	13	0	0	13
Pakistan	12.8	16	15	33	64
Nigeria	12.25	23	30	45	98
Jamaica	12.083333333333334	32	69	44	145
Belarus	11.583333333333334	24	44	71	139
Ghana	10.5	0	0	21	21
Kenya	9.3	31	34	28	93
Lithuania	8.714285714285714	6	7	48	61
South Africa	8.0	15	19	22	56
Greece	7.818181818181818	22	35	29	86
Kazakhstan	7.7	20	25	32	77
Azerbaijan	7.333333333333333	7	12	25	44
Zimbabwe	7.0	16	4	1	21
North Korea	6.6	16	15	35	66
Taiwan	5.875	3	27	17	47
Chile	5.75	3	2	18	23
Mexico	5.5	22	19	25	66
India	5.5	17	4	23	44
Ethiopia	5.444444444444445	19	8	22	49
Turkey	5.4	17	16	21	54
Georgia	5.333333333333333	8	6	18	32
Iceland	5.333333333333333	0	14	2	16
Cameroon	5.25	20	0	1	21
Belgium	5.230769230769231	8	35	25	68
Slovakia	5.222222222222222	15	19	13	47
Bahamas	5.142857142857143	12	11	13	36
Indonesia	5.125	11	17	13	41
Uzbekistan	4.857142857142857	10	7	17	34
Peru	4.666666666666667	0	14	0	14
Iran	4.4	14	14	16	44
Slovenia	4.363636363636363	8	13	27	48
Latvia	3.5555555555555554	3	17	12	32
Trinidad and Tobago and Tobago	3.2857142857142856	7	6	10	23
Armenia	3.2	2	5	9	16
Malaysia	3.2	0	11	5	16
Thailand	3.0	9	8	13	30
Colombia	3.0	5	8	14	27
Saudi Arabia	3.0	0	1	5	6
Estonia	2.7777777777777777	7	6	12	25
Ireland	2.75	5	10	7	22
Individual Olympic Athletes	2.5	1	1	3	5
Morocco	2.4444444444444446	6	4	12	22
Algeria	2.4285714285714284	5	4	8	17
Egypt	2.4	1	4	7	12
Liechtenstein	2.25	2	2	5	9
Mongolia	2.2	2	9	11	22
Portugal	2.111111111111111	4	7	8	19
Moldova	2.0	0	3	5	8
Namibia	2.0	0	4	0	4
Tanzania	2.0	0	2	0	2
Luxembourg	2.0	0	2	0	2
Tunisia	1.8	2	2	5	9
Venezuela	1.7142857142857142	1	3	8	12
Israel	1.5	1	1	7	9
Ivory Coast	1.5	1	1	1	3
Bahrain	1.5	1	1	1	3
Kyrgyzstan	1.5	0	1	2	3
Dominican Republic	1.4	3	2	2	7
Puerto Rico	1.3333333333333333	1	2	5	8
Tajikistan	1.3333333333333333	1	1	2	4
Costa Rica	1.3333333333333333	1	1	2	4
Vietnam	1.3333333333333333	1	3	0	4
Uganda	1.25	2	2	1	5
Qatar	1.25	0	1	4	5
Syria	1.0	1	1	1	3
Ecuador	1.0	1	1	0	2
Burundi	1.0	1	1	0	2
Suriname	1.0	1	0	1	2
Grenada	1.0	1	1	0	2
United Arab Emirates	1.0	1	0	1	2
Mozambique	1.0	1	0	1	2
Jordan	1.0	1	0	0	1
Kosovo	1.0	1	0	0	1
Panama	1.0	1	0	0	1
Philippines	1.0	0	2	2	4
Afghanistan	1.0	0	0	2	2
Kuwait	1.0	0	0	2	2
Niger	1.0	0	1	1	2
Zambia	1.0	0	1	1	2
Lebanon	1.0	0	1	1	2
Senegal	1.0	0	1	0	1
Guyana	1.0	0	0	1	1
Eritrea	1.0	0	0	1	1
Djibouti	1.0	0	0	1	1
Tonga	1.0	0	1	0	1
Sudan	1.0	0	1	0	1
Sri Lanka	1.0	0	1	0	1
Togo	1.0	0	0	1	1
Gabon	1.0	0	1	0	1
Netherlands Antilles	1.0	0	1	0	1
Barbados	1.0	0	0	1	1
Cyprus	1.0	0	1	0	1
Uruguay	1.0	0	1	0	1
Guatemala	1.0	0	1	0	1
Macedonia	1.0	0	0	1	1
Botswana	1.0	0	1	0	1
Bermuda	1.0	0	0	1	1
Mauritius	1.0	0	0	1	1
